Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
horse-colic,1,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,35.0,2.0,0.0,94.5945945945946,5.405405405405405,0.0,0.8814102564102564,0.2353732709327547,0.2790315204307974,50.94034904553782,58.392500407397506,34.65582837666615,15.769780145685903,18.886048230980247,0.9366440101801662,0.4262102742077271,0.5104337359724391,19.02210637075381,0.5141109829933462,1997.1213074704287,0.9583333333333334,23.0,0.07692307692307693,1.0,0.9230769230769231,12.0,0.041666666666666664,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8814102564102564,0.9775641025641025,0.9879445986782942,0.9459459459459459,0.06453568953568953,0.9354643104643106,0.05405405405405406,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.8814102564102565,0.9775641025641025,0.9803415183849966,0.9407051282051282,0.9459459459459459,0.386,0.016,0.359375,0.015625,359.375,15.625,2503486.0,75009.0,12387.0,100.0,98.64864864864865,?,-1.0
horse-colic,1,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,34.0,3.0,0.0,91.89189189189189,8.108108108108109,0.0,0.8121827411167514,0.24502498489403246,0.3104644802254392,53.02920848198439,64.97042792892117,34.65582837666615,18.416102385007356,16.239725991658794,0.9366440101801662,0.4977324968920907,0.43891151328807554,18.09433158608604,0.4890359888131362,1899.7147030240058,1.0,24.0,0.23076923076923078,3.0,0.7692307692307693,10.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,0.8268982305947231,0.9006410256410257,0.9225447726034952,0.918918918918919,0.1496881496881497,0.8503118503118504,0.08108108108108109,0.9279279279279278,0.918918918918919,0.9160157600055299,0.826898230594723,0.9006410256410257,0.9200116048971233,0.9053708439897699,0.918918918918919,0.184,0.007,0.1875,0.015625,187.5,15.625,2287852.0,75009.0,12387.0,100.0,98.64864864864865,?,-1.0
horse-colic,1,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,30.0,7.0,0.0,81.08108108108108,18.91891891891892,0.0,0.5802269043760131,0.28129987837754006,0.3624382425674461,60.07793034303468,74.71931589569833,35.41414960056652,22.202115377113934,13.212034223452584,0.9571391783936897,0.6000571723544307,0.357082006039259,15.423494816531868,0.41685121125761804,1623.206858280755,0.9130434782608695,21.0,0.35714285714285715,5.0,0.6428571428571429,9.0,0.08695652173913043,2.0,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.5898506720476968,0.8913043478260869,0.9297705664595772,0.8108108108108109,0.25491018969279844,0.7450898103072017,0.1891891891891892,0.8116613116613117,0.8108108108108109,0.8052509652509653,0.5898506720476969,0.891304347826087,0.9044906966786025,0.7885714285714287,0.8108108108108109,0.204,0.005,0.203125,0.0,203.125,0.0,2417337.0,75009.0,12387.0,100.0,98.64864864864865,?,-1.0
horse-colic,1,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,32.0,5.0,0.0,86.48648648648648,13.513513513513514,0.0,0.7166921898928026,0.24454917765634135,0.3177033546977023,52.228989736588346,65.49688893926032,35.41414960056652,17.976224712898095,17.437924887668423,0.9571391783936897,0.48584391115940795,0.4712952672342817,18.311962974870085,0.494917918239732,1927.196413197625,0.8695652173913043,20.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.13043478260869565,3.0,0.9090909090909091,0.8695652173913043,0.888888888888889,0.7178454493936232,0.9472049689440993,0.9624135146227913,0.8648648648648649,0.13815679033070338,0.8618432096692966,0.13513513513513514,0.8678132678132678,0.8648648648648649,0.8656932794863831,0.7178454493936233,0.9472049689440993,0.9552328441061783,0.8582375478927204,0.8648648648648649,0.193,0.003,0.171875,0.0,171.875,0.0,2289894.0,75009.0,12387.0,100.0,95.94594594594595,?,-1.0
horse-colic,1,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,31.0,6.0,0.0,83.78378378378379,16.216216216216218,0.0,0.6453674121405751,0.2809882299486029,0.37430223428571757,60.011370795575246,77.16516525944617,35.41414960056652,23.253229189599224,12.160920410967293,0.9571391783936897,0.628465653772952,0.3286735246207376,15.316068399121043,0.413947794570839,1611.9010356007436,0.9130434782608695,21.0,0.2857142857142857,4.0,0.7142857142857143,10.0,0.08695652173913043,2.0,0.84,0.9130434782608695,0.8749999999999999,0.6499243466086647,0.8788819875776398,0.9338156547872438,0.8378378378378378,0.210508645291254,0.789491354708746,0.16216216216216217,0.8374774774774775,0.8378378378378378,0.8349792099792099,0.6499243466086647,0.8788819875776399,0.8842390319853639,0.8221153846153846,0.8378378378378378,0.191,0.005,0.1875,0.0,187.5,0.0,2427101.0,75009.0,12387.0,100.0,95.94594594594595,?,-1.0
horse-colic,1,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,31.0,6.0,0.0,83.78378378378379,16.216216216216218,0.0,0.6348684210526315,0.26989989077767,0.3466002177533589,57.643206002282405,71.45419030943387,35.41414960056652,20.80766838193436,14.606481218632158,0.9571391783936897,0.5623694157279556,0.394769762665734,16.34672591966743,0.4418034032342549,1720.369989997275,0.9565217391304348,22.0,0.35714285714285715,5.0,0.6428571428571429,9.0,0.043478260869565216,1.0,0.8148148148148148,0.9565217391304348,0.8800000000000001,0.6545570292433357,0.8913043478260869,0.926825680920918,0.8378378378378378,0.23845895585026025,0.7615410441497399,0.16216216216216217,0.847047047047047,0.8378378378378378,0.8308108108108109,0.6545570292433357,0.891304347826087,0.9091526407523827,0.8150000000000001,0.8378378378378378,0.177,0.004,0.171875,0.015625,171.875,15.625,2328376.0,75009.0,12387.0,100.0,97.29729729729729,?,-1.0
horse-colic,1,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,35.0,2.0,0.0,94.5945945945946,5.405405405405405,0.0,0.8817891373801917,0.257895227604596,0.2996546786715535,55.0793395617304,61.77602130690507,35.41414960056652,17.40673252766189,18.007417072904627,0.9571391783936897,0.4704522304773484,0.48668694791634126,18.182183173907706,0.49141035605155964,1913.5380649766598,1.0,23.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.0,0.0,0.92,1.0,0.9583333333333334,0.888015443881146,0.9782608695652174,0.9861224594395422,0.9459459459459459,0.0888030888030888,0.911196911196911,0.05405405405405406,0.9502702702702702,0.9459459459459459,0.94499306999307,0.8880154438811458,0.9782608695652175,0.9813348106940784,0.9407051282051282,0.9459459459459459,0.178,0.005,0.171875,0.0,171.875,0.0,2440894.0,75009.0,12387.0,100.0,98.64864864864865,?,-1.0
horse-colic,1,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,30.0,7.0,0.0,81.08108108108108,18.91891891891892,0.0,0.6140089418777944,0.2860524520776964,0.37434188955337433,61.09294959350489,77.1733404852446,35.41414960056652,24.619073618509766,10.795075982056751,0.9571391783936897,0.6653803680678315,0.29175881032585815,14.949227715992778,0.40403318151331835,1573.2938120218214,0.782608695652174,18.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.21739130434782608,5.0,0.9,0.782608695652174,0.8372093023255814,0.6225866815996185,0.860248447204969,0.8439944047825542,0.8108108108108109,0.17105925801577976,0.8289407419842202,0.1891891891891892,0.8265500794912559,0.8108108108108109,0.8133655035380467,0.6225866815996185,0.860248447204969,0.8447731231008917,0.805701425356339,0.8108108108108109,0.181,0.005,0.1875,0.0,187.5,0.0,2389784.0,75009.0,12387.0,97.29729729729729,97.29729729729729,?,-1.0
horse-colic,1,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,332.0,36.0,30.0,6.0,0.0,83.33333333333333,16.666666666666668,0.0,0.6129032258064517,0.2614591855598589,0.3534504666658343,56.3200510063014,73.56963319389202,33.98115558771569,21.197220221020043,12.783935366695648,0.943920988547658,0.5888116728061124,0.35510931574154575,16.04591645009377,0.44571990139149364,1686.1459164342598,0.9565217391304348,22.0,0.38461538461538464,5.0,0.6153846153846154,8.0,0.043478260869565216,1.0,0.8148148148148148,0.9565217391304348,0.8800000000000001,0.6343915351294689,0.8662207357859532,0.903718340630837,0.8333333333333334,0.2614269788182832,0.738573021181717,0.16666666666666666,0.8415637860082305,0.8333333333333334,0.8248484848484849,0.6343915351294689,0.8662207357859532,0.8875136307862957,0.8036363636363637,0.8333333333333334,0.158,0.016,0.15625,0.015625,156.25,15.625,2266076.0,75222.0,12174.0,100.0,97.22222222222223,?,-1.0
horse-colic,1,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,332.0,36.0,29.0,7.0,0.0,80.55555555555556,19.444444444444443,0.0,0.5855263157894737,0.27536723153223797,0.35087984484809465,59.315936795837146,73.03456612778989,33.98115558771569,20.370388228241023,13.610767359474668,0.943920988547658,0.5658441174511395,0.37807687109651855,14.79545443061701,0.41098484529491697,1554.7441710522091,0.8260869565217391,19.0,0.23076923076923078,3.0,0.7692307692307693,10.0,0.17391304347826086,4.0,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.5865554168965924,0.919732441471572,0.9586654283548868,0.8055555555555556,0.2102378298030472,0.7897621701969528,0.19444444444444445,0.8097041847041848,0.8055555555555556,0.8069958847736625,0.5865554168965924,0.919732441471572,0.9266702816107689,0.7925925925925926,0.8055555555555556,0.17,0.015,0.171875,0.015625,171.875,15.625,2446848.0,75222.0,12174.0,100.0,98.61111111111111,?,-1.0
